name,price,specs,ram_gb,display_inch,camera_mp,battery_mah
OPPO F25 Pro 5G,21999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 8MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,64.0,5000.0
OPPO Reno10 Pro 5G,37999.0,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 32MP + 8MP | 32MP Front Camera', '4600 mAh Battery', 'Snapdragon 778G 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']",12.0,6.7,50.0,4600.0
OPPO Reno7 5G,25999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.33 cm (6.43 inch) Full HD Display', '64MP + 8MP + 2MP | 32MP Front Camera', '4500 mAh Lithium-ion Polymer Battery', 'Mediatek Dimensity 900 Processor', '1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories']",8.0,6.43,64.0,4500.0
OPPO Reno10 5G,28999.0,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 32MP + 8MP | 32MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']",8.0,6.7,64.0,5000.0
OPPO F27 5G,21389.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
OPPO A79 5G,22999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', 'Rear Camera: 50MP AI Camera, 2MP Portrait Camera Front Camera: 8MP Selfie Camera | 8MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Mediatek Dimensity 6020 Processor', 'Before going on the market, the product has gone through 6 tests, namely drop, anti-splash, radiation, weather, slight drop, and signal tests, and 5 safety protection steps, namely durability, fire and flame retardant, temperature protection, noise safety, and battery protection. 50-plus production-related checks, 130-plus ultra-stringent reliability tests, and 320-plus comprehensive testing processes, just to provide OPPO enduring craftsmanship and quality.[1-Meter Directional Drop Test][150-Circle Tumbling Test][14,000 Micro-Drop Test][Water-Spray Test][1,000 25Kg Soft Pressure Tests][Stress Bending Test][500,000 On Button Press Tests][20,000 USB Plug/Unplug Tests][65°C 95%RH 168H High Temperature and High Humidity Test][100,000-Plus Rigorous Quality Tests]* The data here refers to laboratory test data only and is not intended for quality assurance in daily use. The actual situation will be slightly different due to different test software versions, test environments, and versions.', '12 Months on Handset and 6 Months on Adapter & Cable']",8.0,6.72,50.0,
OPPO Reno 12 Pro 5G,36999.0,"['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 50MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.7,50.0,5000.0
OPPO Reno13 Pro 5G,49999.0,"['12 GB RAM | 256 GB ROM', '17.35 cm (6.83 inch) Display', '50MP + 50MP + 8MP | 50MP Front Camera', '5800 mAh Battery', 'Dimensity 8350 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",12.0,6.83,50.0,5800.0
OPPO A78 5G,20990.0,"['8 GB RAM | 128 GB ROM', '16.66 cm (6.56 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', '6833 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']",8.0,6.56,50.0,5000.0
OPPO A5 Pro 5G,20145.0,"['8 GB RAM | 128 GB ROM', '16.94 cm (6.67 inch) Display', '50MP + 2MP | 8MP Front Camera', '5800 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5800.0
OPPO Reno10 Pro 5G,32999.0,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 32MP + 8MP | 32MP Front Camera', '4600 mAh Battery', 'Snapdragon 778G 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']",12.0,6.7,50.0,4600.0
OPPO K13 Turbo Pro 5G,37999.0,"['8 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', '8s Gen 4 Mobile Platform Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.8,50.0,7000.0
